Epoch,Time,Train_Accuracy,Val_Accuracy
1,61.98,37.43,36.37
2,125.19,43.92,46.6
3,191.71,66.57,71.93
4,252.8,79.65,83.63
5,314.71,86.16,87.13
6,381.95,88.84,89.2
7,444.27,89.93,90.93
8,502.08,89.89,88.8
9,565.29,89.21,90.6
10,626.43,91.1,91.53
11,688.16,91.58,88.37
12,752.6,91.46,91.87
13,811.95,91.79,90.23
14,873.77,91.96,91.4
15,938.09,91.88,91.97
16,1001.87,91.71,93.63
17,1056.7,92.38,91.97
18,1119.52,92.67,92.73
19,1184.71,93.26,91.8
20,1249.25,92.91,92.9
21,1307.55,92.97,92.97
22,1367.51,93.95,93.63
23,1440.8,93.95,94.03
24,1501.38,93.3,93.93
25,1564.23,93.95,94
26,1624.76,94.31,92.5
27,1697.3,94.17,94.9
28,1751.36,95.25,94.03
29,1815.94,94.47,94.73
30,1882.17,95.13,94.97
