Epoch,Time,Train_Accuracy,Val_Accuracy
1,46.88,0.34,0.32
2,175.02,0.70,0.70
3,293.80,0.75,0.74
4,410.98,0.77,0.76
5,528.42,0.83,0.82
6,643.15,0.86,0.85
7,760.71,0.86,0.86
8,875.71,0.87,0.85
9,993.94,0.88,0.88
10,1113.82,0.84,0.83
11,1233.89,0.88,0.87
12,1349.47,0.89,0.89
13,1466.17,0.88,0.88
14,1583.15,0.90,0.89
15,1698.79,0.88,0.87
16,1817.96,0.87,0.86
17,1936.39,0.89,0.88
18,2054.29,0.88,0.87
19,2172.00,0.90,0.89
20,2288.63,0.90,0.88
21,2406.32,0.90,0.89
22,2524.59,0.90,0.88
23,2640.52,0.91,0.89
24,2754.33,0.91,0.89
25,2871.34,0.91,0.89
26,2988.81,0.91,0.89
27,3105.93,0.90,0.88
28,3224.91,0.91,0.89
29,3343.04,0.92,0.90
30,3460.18,0.91,0.89
31,3574.70,0.92,0.90
32,3688.22,0.92,0.90
33,3801.14,0.93,0.90
34,3918.49,0.91,0.89
35,4035.35,0.94,0.91
36,4150.94,0.93,0.90
37,4267.72,0.94,0.91
38,4383.68,0.94,0.91
39,4499.44,0.94,0.91
40,4615.12,0.94,0.90
