Epoch,Time,Train_Accuracy,Val_Accuracy
1,47.02,0.63,0.61
2,175.42,0.65,0.65
3,292.08,0.77,0.76
4,409.88,0.82,0.81
5,526.99,0.84,0.84
6,644.43,0.86,0.85
7,763.38,0.87,0.86
8,882.66,0.85,0.83
9,997.26,0.88,0.87
10,1115.8,0.89,0.88
11,1234.5,0.87,0.86
12,1351.24,0.89,0.88
13,1472.28,0.88,0.87
14,1589.77,0.87,0.87
15,1709.89,0.86,0.86
16,1831,0.87,0.87
17,1949.33,0.92,0.9
18,2069.63,0.91,0.9
19,2185.43,0.93,0.91
20,2303.84,0.93,0.91
21,2420.88,0.91,0.89
22,2539.22,0.91,0.89
23,2658.87,0.93,0.91
24,2775.23,0.91,0.89
25,2893.81,0.93,0.92
26,3012.8,0.94,0.92
27,3131.86,0.95,0.92
28,3250.96,0.95,0.92
29,3368.5,0.94,0.92
30,3489.12,0.96,0.92
31,3610.22,0.91,0.89
32,3732.28,0.96,0.92
33,3853.28,0.97,0.93
34,3974.02,0.97,0.92
35,4094.57,0.93,0.9
36,4216.33,0.97,0.92
37,4336.2,0.9,0.88
38,4454.64,0.97,0.92
39,4575.35,0.98,0.93
40,4693.37,0.98,0.93
