Epoch,Time,Train_Accuracy,Val_Accuracy
1,128.58,0.33,0.35
2,346.94,0.34,0.37
3,551.41,0.84,0.84
4,755.54,0.83,0.82
5,961.06,0.84,0.83
6,1168.12,0.87,0.86
7,1375.48,0.89,0.88
8,1580.55,0.88,0.87
9,1787.6,0.87,0.85
10,1993.63,0.91,0.89
11,2199.92,0.88,0.87
12,2404.88,0.91,0.88
13,2610.87,0.91,0.89
14,2816.61,0.93,0.91
15,3023.41,0.88,0.85
16,3229.72,0.93,0.89
17,3435.62,0.94,0.9
18,3639.92,0.94,0.89
19,3845.26,0.95,0.91
20,4051.52,0.91,0.87
21,4257.6,0.96,0.92
22,4463.31,0.92,0.88
23,4669.15,0.84,0.83
24,4875.48,0.95,0.9
25,5081.82,0.93,0.88
26,5287.73,0.93,0.89
27,5493.16,0.94,0.9
28,5698.82,0.96,0.91
29,5909.04,0.98,0.92
30,6119.73,0.7,0.69
31,6326.85,0.86,0.83
32,6532.2,0.94,0.9
33,6736.72,0.91,0.87
34,6942.51,0.94,0.9
35,7147.24,0.95,0.91
36,7351.61,0.97,0.92
37,7556.79,0.96,0.91
38,7761.09,0.97,0.91
39,7965.49,0.98,0.93
40,8170.9,0.99,0.93
